"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 06:09:40 GMT 2024","Sun Dec 15 06:09:56 GMT 2024","15621","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Sun Dec 15 07:00:17 GMT 2024","Sun Dec 15 07:00:29 GMT 2024","11954","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:15:11 GMT 2024","Sun Dec 15 06:15:30 GMT 2024","19082","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Sun Dec 15 06:12:06 GMT 2024","Sun Dec 15 06:12:22 GMT 2024","16666","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sun Dec 15 06:59:18 GMT 2024","Sun Dec 15 06:59:34 GMT 2024","16268","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:58:47 GMT 2024","Sun Dec 15 06:59:02 GMT 2024","15043","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:26:43 GMT 2024","Sun Dec 15 06:26:49 GMT 2024","6612","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality","To verify Forgot Password page elements and ""Back to Log in"" functionality."
"passed","Sun Dec 15 06:19:09 GMT 2024","Sun Dec 15 06:19:39 GMT 2024","30138","webkit","","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles","Verify the user can navigate through the articles"
"passed","Sun Dec 15 06:13:08 GMT 2024","Sun Dec 15 06:13:25 GMT 2024","17251","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Sun Dec 15 06:28:54 GMT 2024","Sun Dec 15 06:29:03 GMT 2024","8204","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the Bulk transfer button on Transfer Page"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting",""
"skipped","Sun Dec 15 06:23:34 GMT 2024","Sun Dec 15 06:23:34 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu",""
"passed","Sun Dec 15 07:01:17 GMT 2024","Sun Dec 15 07:01:30 GMT 2024","13392","webkit","","Report Abuse submission for each type of report","","","TC_09_07_013| Verify unauthorized user can submit the ""Report Abuse"" form for UDRP","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"passed","Sun Dec 15 07:00:02 GMT 2024","Sun Dec 15 07:00:17 GMT 2024","14998","webkit","","Report Abuse submission for each type of report","","","TC_09_07_08| Verify unauthorized user can submit the ""Report Abuse"" form for CSAM (Child Abuse)","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:59:02 GMT 2024","Sun Dec 15 06:59:18 GMT 2024","15735","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:15:51 GMT 2024","Sun Dec 15 06:16:04 GMT 2024","12894","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Help center search, as well as previous search history when the search field is empty."
"passed","Sun Dec 15 07:01:02 GMT 2024","Sun Dec 15 07:01:17 GMT 2024","15249","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:23:20 GMT 2024","Sun Dec 15 06:23:34 GMT 2024","13983","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Sun Dec 15 06:58:34 GMT 2024","Sun Dec 15 06:58:47 GMT 2024","13803","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:14:20 GMT 2024","Sun Dec 15 06:14:32 GMT 2024","11585","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"passed","Sun Dec 15 06:47:07 GMT 2024","Sun Dec 15 06:47:21 GMT 2024","13972","webkit","","Contact Us","","","TC_09_06_08 | Verify unauthorized users can submit the ""Contact Us"" form for ""Affiliate"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:31:49 GMT 2024","Sun Dec 15 06:31:57 GMT 2024","7451","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""m"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:12:40 GMT 2024","Sun Dec 15 06:12:56 GMT 2024","15649","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"passed","Sun Dec 15 06:15:40 GMT 2024","Sun Dec 15 06:15:51 GMT 2024","11325","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Sun Dec 15 06:26:01 GMT 2024","Sun Dec 15 06:26:06 GMT 2024","5139","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Sun Dec 15 07:00:46 GMT 2024","Sun Dec 15 07:01:02 GMT 2024","15447","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"passed","Sun Dec 15 06:14:08 GMT 2024","Sun Dec 15 06:14:20 GMT 2024","11849","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"passed","Sun Dec 15 06:23:49 GMT 2024","Sun Dec 15 06:24:02 GMT 2024","13092","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Sun Dec 15 06:29:03 GMT 2024","Sun Dec 15 06:29:11 GMT 2024","8282","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the My transfers button on Transfer Page"
"passed","Sun Dec 15 06:08:27 GMT 2024","Sun Dec 15 06:08:39 GMT 2024","11527","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Sun Dec 15 06:32:40 GMT 2024","Sun Dec 15 06:32:49 GMT 2024","8585","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Sun Dec 15 06:26:58 GMT 2024","Sun Dec 15 06:26:58 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"passed","Sun Dec 15 06:54:37 GMT 2024","Sun Dec 15 06:54:49 GMT 2024","11966","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Sun Dec 15 06:57:04 GMT 2024","Sun Dec 15 06:58:05 GMT 2024","60445","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:07:58 GMT 2024","Sun Dec 15 06:08:13 GMT 2024","15615","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Sun Dec 15 06:30:23 GMT 2024","Sun Dec 15 06:30:34 GMT 2024","10975","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:12:56 GMT 2024","Sun Dec 15 06:13:08 GMT 2024","12208","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
"passed","Sun Dec 15 06:31:10 GMT 2024","Sun Dec 15 06:31:21 GMT 2024","11719","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates",""
"passed","Sun Dec 15 06:08:51 GMT 2024","Sun Dec 15 06:09:06 GMT 2024","14984","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Sun Dec 15 06:07:20 GMT 2024","Sun Dec 15 06:07:29 GMT 2024","8307","webkit","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Sun Dec 15 06:32:31 GMT 2024","Sun Dec 15 06:32:40 GMT 2024","8994","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:29:20 GMT 2024","Sun Dec 15 06:29:28 GMT 2024","8153","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the DV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the DV subscription SSL Сertificates"
"passed","Sun Dec 15 06:09:23 GMT 2024","Sun Dec 15 06:09:40 GMT 2024","17133","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo",""
"passed","Sun Dec 15 06:58:17 GMT 2024","Sun Dec 15 06:58:34 GMT 2024","17001","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:08:14 GMT 2024","Sun Dec 15 06:08:27 GMT 2024","13898","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"passed","Sun Dec 15 07:00:29 GMT 2024","Sun Dec 15 07:00:46 GMT 2024","16910","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sun Dec 15 06:29:11 GMT 2024","Sun Dec 15 06:29:20 GMT 2024","8933","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the Free subscription SSL Сertificates"
"passed","Sun Dec 15 06:45:48 GMT 2024","Sun Dec 15 06:46:05 GMT 2024","17102","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:30:57 GMT 2024","Sun Dec 15 06:31:10 GMT 2024","12318","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Sun Dec 15 06:26:58 GMT 2024","Sun Dec 15 06:26:58 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results",""
"passed","Sun Dec 15 06:24:41 GMT 2024","Sun Dec 15 06:25:00 GMT 2024","18450","webkit","","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled","To verify, that user receives notifications after Account deletion is canceled"
"passed","Sun Dec 15 06:19:39 GMT 2024","Sun Dec 15 06:19:54 GMT 2024","15548","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Sun Dec 15 06:09:06 GMT 2024","Sun Dec 15 06:09:23 GMT 2024","17113","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Sun Dec 15 06:03:00 GMT 2024","Sun Dec 15 06:03:05 GMT 2024","5342","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader",""
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"passed","Sun Dec 15 06:30:05 GMT 2024","Sun Dec 15 06:30:15 GMT 2024","10408","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""c"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Sun Dec 15 06:43:12 GMT 2024","Sun Dec 15 06:44:13 GMT 2024","60521","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:44:36 GMT 2024","Sun Dec 15 06:44:46 GMT 2024","10630","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Sun Dec 15 06:49:27 GMT 2024","Sun Dec 15 06:50:28 GMT 2024","60483","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:33:16 GMT 2024","Sun Dec 15 06:33:24 GMT 2024","7766","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:28:15 GMT 2024","Sun Dec 15 06:28:33 GMT 2024","17950","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","1","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"passed","Sun Dec 15 06:18:17 GMT 2024","Sun Dec 15 06:19:09 GMT 2024","51659","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article","Verify that relevant articles are displayed."
"passed","Sun Dec 15 06:15:30 GMT 2024","Sun Dec 15 06:15:40 GMT 2024","9561","webkit","","Blog","","","TC_06_01 | Verify Blog search functionality with random characters","To verify that ""No results for... "" message appears after search with random characters."
"passed","Sun Dec 15 06:13:54 GMT 2024","Sun Dec 15 06:14:07 GMT 2024","13011","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Sun Dec 15 06:33:46 GMT 2024","Sun Dec 15 06:33:53 GMT 2024","6533","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:26:06 GMT 2024","Sun Dec 15 06:26:11 GMT 2024","5048","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Sun Dec 15 06:23:05 GMT 2024","Sun Dec 15 06:23:20 GMT 2024","14396","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Sun Dec 15 06:24:30 GMT 2024","Sun Dec 15 06:24:41 GMT 2024","10869","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
"passed","Sun Dec 15 06:26:11 GMT 2024","Sun Dec 15 06:26:17 GMT 2024","5810","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Sun Dec 15 06:23:34 GMT 2024","Sun Dec 15 06:23:49 GMT 2024","15282","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"skipped","Sun Dec 15 06:12:56 GMT 2024","Sun Dec 15 06:12:56 GMT 2024","0","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
"passed","Sun Dec 15 06:44:25 GMT 2024","Sun Dec 15 06:44:36 GMT 2024","11098","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:30:34 GMT 2024","Sun Dec 15 06:30:45 GMT 2024","11691","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:32:49 GMT 2024","Sun Dec 15 06:32:59 GMT 2024","10175","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:25:46 GMT 2024","Sun Dec 15 06:25:53 GMT 2024","7086","webkit","","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Sun Dec 15 06:05:34 GMT 2024","Sun Dec 15 06:06:56 GMT 2024","81714","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements","Verify redirection to ""Check your email"" form and its elements"
"skipped","Sun Dec 15 06:07:38 GMT 2024","Sun Dec 15 06:07:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains",""
"passed","Sun Dec 15 06:58:06 GMT 2024","Sun Dec 15 06:58:16 GMT 2024","10241","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page","Verify unauthorised user must redirect to the login page from Domain availability Page"
"broken","Sun Dec 15 06:52:34 GMT 2024","Sun Dec 15 06:53:34 GMT 2024","60531","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:25:41 GMT 2024","Sun Dec 15 06:25:46 GMT 2024","5247","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Sun Dec 15 06:16:04 GMT 2024","Sun Dec 15 06:16:04 GMT 2024","0","webkit","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories",""
"passed","Sun Dec 15 06:10:25 GMT 2024","Sun Dec 15 06:10:42 GMT 2024","17210","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
