"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 02 10:28:52 GMT 2024","Mon Dec 02 10:28:52 GMT 2024","1","chromium","08MyProfile.spec.js","My profile","","","TC_02_03 | User Authorization with 2FA: Use predefined user",""
"passed","Mon Dec 02 10:33:41 GMT 2024","Mon Dec 02 10:33:46 GMT 2024","5319","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:29:41 GMT 2024","Mon Dec 02 10:29:43 GMT 2024","2359","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Mon Dec 02 10:30:47 GMT 2024","Mon Dec 02 10:30:50 GMT 2024","3263","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_o | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:27:51 GMT 2024","Mon Dec 02 10:27:58 GMT 2024","6731","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled","To verify, that user can change Password when Two-factor authentication (2FA) is disabled"
"passed","Mon Dec 02 10:22:31 GMT 2024","Mon Dec 02 10:22:36 GMT 2024","4377","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:28:52 GMT 2024","Mon Dec 02 10:28:58 GMT 2024","5863","chromium","08MyProfile.spec.js","My profile. Section 2FA","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Mon Dec 02 10:30:18 GMT 2024","Mon Dec 02 10:30:20 GMT 2024","2223","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_d | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:27:29 GMT 2024","Mon Dec 02 10:27:36 GMT 2024","7322","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections","Verify user can navigate through the Knowledge Base sections by clicking on headings"
"passed","Mon Dec 02 10:30:34 GMT 2024","Mon Dec 02 10:30:37 GMT 2024","2226","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_j | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:33:30 GMT 2024","Mon Dec 02 10:33:35 GMT 2024","5626","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:27:58 GMT 2024","Mon Dec 02 10:28:02 GMT 2024","3976","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Mon Dec 02 10:27:23 GMT 2024","Mon Dec 02 10:27:29 GMT 2024","5944","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Mon Dec 02 10:22:04 GMT 2024","Mon Dec 02 10:22:10 GMT 2024","5691","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:25:16 GMT 2024","Mon Dec 02 10:25:23 GMT 2024","7741","chromium","04Domains.spec.js","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone","Delete DNS record in hosted zone"
"passed","Mon Dec 02 10:21:47 GMT 2024","Mon Dec 02 10:21:53 GMT 2024","6779","chromium","02Authorization.spec.js","Delete Account","","","TC_02_04 | Account Deletion Without 2FA","To verify user can delete account without 2FA"
"passed","Mon Dec 02 10:29:27 GMT 2024","Mon Dec 02 10:29:31 GMT 2024","4214","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality","To verify Check email form elements and ""Back to Forgot password"" functionality."
"passed","Mon Dec 02 10:26:58 GMT 2024","Mon Dec 02 10:27:04 GMT 2024","5198","chromium","06Blog.spec.js","Blog","","","TC_06_01 | Verify Blog search functionality with random characters","To verify that ""No results for... "" message appears after search with random characters."
"passed","Mon Dec 02 10:29:22 GMT 2024","Mon Dec 02 10:29:24 GMT 2024","2873","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Mon Dec 02 10:30:23 GMT 2024","Mon Dec 02 10:30:25 GMT 2024","2655","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_f | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:26:06 GMT 2024","Mon Dec 02 10:26:12 GMT 2024","6374","chromium","06Blog.spec.js","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"skipped","Mon Dec 02 10:20:15 GMT 2024","Mon Dec 02 10:20:15 GMT 2024","1","chromium","01Registration.spec.js","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements",""
"passed","Mon Dec 02 10:24:18 GMT 2024","Mon Dec 02 10:24:25 GMT 2024","7257","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Dec 02 10:31:05 GMT 2024","Mon Dec 02 10:31:07 GMT 2024","2419","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_v | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:21:54 GMT 2024","Mon Dec 02 10:21:59 GMT 2024","5027","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:33:46 GMT 2024","Mon Dec 02 10:33:52 GMT 2024","5588","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:23:50 GMT 2024","Mon Dec 02 10:23:57 GMT 2024","6766","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Mon Dec 02 10:30:25 GMT 2024","Mon Dec 02 10:30:29 GMT 2024","3696","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_g | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:29:05 GMT 2024","Mon Dec 02 10:29:08 GMT 2024","2370","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Mon Dec 02 10:29:52 GMT 2024","Mon Dec 02 10:29:54 GMT 2024","2249","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosting link in header"
"passed","Mon Dec 02 10:33:52 GMT 2024","Mon Dec 02 10:33:57 GMT 2024","5214","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:22:58 GMT 2024","Mon Dec 02 10:23:04 GMT 2024","5196","chromium","04Domains.spec.js","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Mon Dec 02 10:28:30 GMT 2024","Mon Dec 02 10:28:34 GMT 2024","4110","chromium","08MyProfile.spec.js","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Mon Dec 02 10:19:56 GMT 2024","Mon Dec 02 10:20:00 GMT 2024","3868","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Dec 02 10:25:31 GMT 2024","Mon Dec 02 10:25:44 GMT 2024","12847","chromium","04Domains.spec.js","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Mon Dec 02 10:31:10 GMT 2024","Mon Dec 02 10:31:13 GMT 2024","2804","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_x | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:29:24 GMT 2024","Mon Dec 02 10:29:27 GMT 2024","2362","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality","To verify Forgot Password page elements and ""Back to Log in"" functionality."
"passed","Mon Dec 02 10:27:04 GMT 2024","Mon Dec 02 10:27:08 GMT 2024","4674","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Mon Dec 02 10:24:25 GMT 2024","Mon Dec 02 10:24:32 GMT 2024","7308","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Dec 02 10:29:59 GMT 2024","Mon Dec 02 10:30:02 GMT 2024","2561","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user will be redirected to the Login Page from SSL Сertificates Page after clicking the Select button of the Free subscription SSL Сertificates","Verify that an unauthorized user will be redirected to the Login Page from the Certificates Page after clicking the Select button"
"passed","Mon Dec 02 10:29:54 GMT 2024","Mon Dec 02 10:29:57 GMT 2024","2594","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the Bulk transfer button on Transfer Page"
"passed","Mon Dec 02 10:25:08 GMT 2024","Mon Dec 02 10:25:16 GMT 2024","7124","chromium","04Domains.spec.js","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Mon Dec 02 10:27:14 GMT 2024","Mon Dec 02 10:27:23 GMT 2024","9214","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Mon Dec 02 10:30:50 GMT 2024","Mon Dec 02 10:30:53 GMT 2024","2523","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_p | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:30:29 GMT 2024","Mon Dec 02 10:30:32 GMT 2024","2817","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_h | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:29:48 GMT 2024","Mon Dec 02 10:29:50 GMT 2024","2225","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Registered domains link in header"
"passed","Mon Dec 02 10:31:00 GMT 2024","Mon Dec 02 10:31:02 GMT 2024","2562","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_t | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:28:34 GMT 2024","Mon Dec 02 10:28:38 GMT 2024","4304","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
"passed","Mon Dec 02 10:29:39 GMT 2024","Mon Dec 02 10:29:41 GMT 2024","2349","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"passed","Mon Dec 02 10:25:23 GMT 2024","Mon Dec 02 10:25:31 GMT 2024","7566","chromium","04Domains.spec.js","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
"passed","Mon Dec 02 10:30:55 GMT 2024","Mon Dec 02 10:30:57 GMT 2024","2295","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_r | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:27:47 GMT 2024","Mon Dec 02 10:27:51 GMT 2024","3709","chromium","08MyProfile.spec.js","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Mon Dec 02 10:34:43 GMT 2024","Mon Dec 02 10:34:49 GMT 2024","6028","chromium","09NonAuthorizedUser.spec.js","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page","Verify unauthorised user must redirect to the login page from Domain availability Page"
"passed","Mon Dec 02 10:22:24 GMT 2024","Mon Dec 02 10:22:27 GMT 2024","3625","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:23:29 GMT 2024","Mon Dec 02 10:23:36 GMT 2024","7072","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Mon Dec 02 10:30:13 GMT 2024","Mon Dec 02 10:30:15 GMT 2024","2441","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_b | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:34:32 GMT 2024","Mon Dec 02 10:34:43 GMT 2024","10258","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:30:02 GMT 2024","Mon Dec 02 10:30:05 GMT 2024","2581","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user will be redirected to the Login Page from SSL Сertificates Page after clicking the Select button of the DV subscription SSL Сertificates","Verify that an unauthorized user will be redirected to the Login Page from the Certificates Page after clicking the Select button"
"passed","Mon Dec 02 10:30:05 GMT 2024","Mon Dec 02 10:30:07 GMT 2024","2591","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user will be redirected to the Login Page from SSL Сertificates Page after clicking the Select button of the OV subscription SSL Сertificates","Verify that an unauthorized user will be redirected to the Login Page from the Certificates Page after clicking the Select button"
"passed","Mon Dec 02 10:22:20 GMT 2024","Mon Dec 02 10:22:24 GMT 2024","4290","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:23:23 GMT 2024","Mon Dec 02 10:23:29 GMT 2024","6036","chromium","04Domains.spec.js","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Mon Dec 02 10:29:15 GMT 2024","Mon Dec 02 10:29:18 GMT 2024","2441","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Mon Dec 02 10:21:59 GMT 2024","Mon Dec 02 10:22:04 GMT 2024","5283","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:22:43 GMT 2024","Mon Dec 02 10:22:48 GMT 2024","4182","chromium","03Navigation.spec.js","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Mon Dec 02 10:22:27 GMT 2024","Mon Dec 02 10:22:31 GMT 2024","3736","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:29:13 GMT 2024","Mon Dec 02 10:29:15 GMT 2024","2182","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Mon Dec 02 10:34:17 GMT 2024","Mon Dec 02 10:34:22 GMT 2024","4956","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:24:32 GMT 2024","Mon Dec 02 10:24:40 GMT 2024","7473","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Dec 02 10:30:57 GMT 2024","Mon Dec 02 10:31:00 GMT 2024","2517","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_s | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:24:47 GMT 2024","Mon Dec 02 10:24:54 GMT 2024","6907","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
