"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 05 04:52:25 GMT 2024","Thu Dec 05 04:52:57 GMT 2024","31511","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"broken","Thu Dec 05 05:00:32 GMT 2024","Thu Dec 05 05:01:04 GMT 2024","31498","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields",""
"broken","Thu Dec 05 07:16:40 GMT 2024","Thu Dec 05 07:17:10 GMT 2024","30572","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena",""
"broken","Thu Dec 05 06:49:05 GMT 2024","Thu Dec 05 06:49:36 GMT 2024","30577","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 06:31:32 GMT 2024","Thu Dec 05 06:31:40 GMT 2024","7914","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the Free subscription SSL Сertificates"
"broken","Thu Dec 05 06:14:48 GMT 2024","Thu Dec 05 06:15:20 GMT 2024","31504","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"skipped","Thu Dec 05 04:14:00 GMT 2024","Thu Dec 05 04:14:00 GMT 2024","0","webkit","","Delete Account","","","TC_02_04 | Account Deletion Without 2FA",""
"broken","Thu Dec 05 06:16:25 GMT 2024","Thu Dec 05 06:16:57 GMT 2024","31579","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"broken","Thu Dec 05 04:29:42 GMT 2024","Thu Dec 05 04:30:13 GMT 2024","31493","webkit","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home",""
"passed","Thu Dec 05 06:32:13 GMT 2024","Thu Dec 05 06:32:25 GMT 2024","12012","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:31:01 GMT 2024","Thu Dec 05 06:31:09 GMT 2024","7826","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"passed","Thu Dec 05 06:35:33 GMT 2024","Thu Dec 05 06:35:41 GMT 2024","8905","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 06:18:03 GMT 2024","Thu Dec 05 06:18:34 GMT 2024","31481","webkit","","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Thu Dec 05 06:30:54 GMT 2024","Thu Dec 05 06:31:01 GMT 2024","7260","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Registered domains link in header"
"passed","Thu Dec 05 06:30:22 GMT 2024","Thu Dec 05 06:30:31 GMT 2024","9481","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"passed","Thu Dec 05 06:35:10 GMT 2024","Thu Dec 05 06:35:21 GMT 2024","11329","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 04:23:12 GMT 2024","Thu Dec 05 04:23:43 GMT 2024","31471","webkit","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates",""
"broken","Thu Dec 05 04:26:27 GMT 2024","Thu Dec 05 04:26:58 GMT 2024","31565","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"broken","Thu Dec 05 06:40:56 GMT 2024","Thu Dec 05 06:41:26 GMT 2024","30446","webkit","","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 06:38:47 GMT 2024","Thu Dec 05 06:39:48 GMT 2024","61595","webkit","","Reset Password","","","TC_09_05_03 | Verify password recovery process","To verify that user can reset the password."
"broken","Thu Dec 05 06:06:03 GMT 2024","Thu Dec 05 06:06:35 GMT 2024","31581","webkit","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled","To verify, that user can change Password when Two-factor authentication (2FA) is disabled"
"passed","Thu Dec 05 06:35:01 GMT 2024","Thu Dec 05 06:35:10 GMT 2024","9379","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Thu Dec 05 06:29:35 GMT 2024","Thu Dec 05 06:29:35 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"broken","Thu Dec 05 07:05:28 GMT 2024","Thu Dec 05 07:05:58 GMT 2024","30562","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming",""
"broken","Thu Dec 05 04:42:41 GMT 2024","Thu Dec 05 04:43:13 GMT 2024","31514","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.",""
"passed","Thu Dec 05 06:28:43 GMT 2024","Thu Dec 05 06:28:48 GMT 2024","4962","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Dec 05 06:28:53 GMT 2024","Thu Dec 05 06:28:59 GMT 2024","6269","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Dec 05 07:01:02 GMT 2024","Thu Dec 05 07:01:11 GMT 2024","9403","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page","Verify unauthorised user must redirect to the login page from Domain availability Page"
"broken","Thu Dec 05 06:12:32 GMT 2024","Thu Dec 05 06:13:04 GMT 2024","31512","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Thu Dec 05 06:34:12 GMT 2024","Thu Dec 05 06:34:18 GMT 2024","6940","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""m"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Thu Dec 05 04:06:13 GMT 2024","Thu Dec 05 04:07:33 GMT 2024","80692","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements","Verify redirection to ""Check your email"" form and its elements"
"broken","Thu Dec 05 07:02:16 GMT 2024","Thu Dec 05 07:02:46 GMT 2024","30294","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints",""
"broken","Thu Dec 05 05:02:10 GMT 2024","Thu Dec 05 05:02:41 GMT 2024","31521","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields",""
"passed","Thu Dec 05 06:36:19 GMT 2024","Thu Dec 05 06:36:41 GMT 2024","21844","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 06:24:59 GMT 2024","Thu Dec 05 06:26:33 GMT 2024","93877","webkit","","My profile","","","TC_08_05 | Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section","Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section"
"broken","Thu Dec 05 05:22:05 GMT 2024","Thu Dec 05 05:23:39 GMT 2024","93984","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"failed","Thu Dec 05 06:13:31 GMT 2024","Thu Dec 05 06:13:42 GMT 2024","11592","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"broken","Thu Dec 05 05:05:24 GMT 2024","Thu Dec 05 05:05:56 GMT 2024","31561","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields",""
"passed","Thu Dec 05 06:28:59 GMT 2024","Thu Dec 05 06:29:05 GMT 2024","5351","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Dec 05 06:32:25 GMT 2024","Thu Dec 05 06:32:37 GMT 2024","12069","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""c"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 06:52:21 GMT 2024","Thu Dec 05 06:52:51 GMT 2024","30517","webkit","","Contact Us","","","TC_09_06_08 | Verify unauthorized users can submit the ""Contact Us"" form for ""Affiliate"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 05:53:20 GMT 2024","Thu Dec 05 05:53:51 GMT 2024","31494","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections","Verify user can navigate through the Knowledge Base sections by clicking on headings"
"passed","Thu Dec 05 06:33:08 GMT 2024","Thu Dec 05 06:33:20 GMT 2024","11887","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:32:06 GMT 2024","Thu Dec 05 06:32:13 GMT 2024","6832","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 07:19:52 GMT 2024","Thu Dec 05 07:20:22 GMT 2024","30566","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order",""
"passed","Thu Dec 05 04:03:19 GMT 2024","Thu Dec 05 04:03:27 GMT 2024","7787","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality"
"broken","Thu Dec 05 05:16:45 GMT 2024","Thu Dec 05 05:17:17 GMT 2024","31473","webkit","","Hosted zones","","","TC_04_03_01| Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"passed","Thu Dec 05 06:34:53 GMT 2024","Thu Dec 05 06:35:01 GMT 2024","7647","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 07:08:40 GMT 2024","Thu Dec 05 07:09:11 GMT 2024","30560","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute",""
"broken","Thu Dec 05 05:03:47 GMT 2024","Thu Dec 05 05:04:18 GMT 2024","31550","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields",""
"broken","Thu Dec 05 04:18:19 GMT 2024","Thu Dec 05 04:18:51 GMT 2024","31577","webkit","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer",""
"broken","Thu Dec 05 04:28:04 GMT 2024","Thu Dec 05 04:28:36 GMT 2024","31516","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"passed","Thu Dec 05 06:36:11 GMT 2024","Thu Dec 05 06:36:19 GMT 2024","7802","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:31:58 GMT 2024","Thu Dec 05 06:32:06 GMT 2024","8958","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the EV subscription SSL Сertificates"
"passed","Thu Dec 05 06:29:19 GMT 2024","Thu Dec 05 06:29:27 GMT 2024","7778","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality","To verify Forgot Password page elements and ""Back to Log in"" functionality."
"broken","Thu Dec 05 06:58:52 GMT 2024","Thu Dec 05 06:59:23 GMT 2024","30508","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 04:49:11 GMT 2024","Thu Dec 05 04:49:42 GMT 2024","31484","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"broken","Thu Dec 05 04:10:41 GMT 2024","Thu Dec 05 04:12:12 GMT 2024","91352","webkit","","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"passed","Thu Dec 05 04:03:03 GMT 2024","Thu Dec 05 04:03:08 GMT 2024","5166","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"broken","Thu Dec 05 05:13:31 GMT 2024","Thu Dec 05 05:14:02 GMT 2024","31427","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Dec 05 06:34:42 GMT 2024","Thu Dec 05 06:34:53 GMT 2024","11345","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 04:58:55 GMT 2024","Thu Dec 05 04:59:26 GMT 2024","31497","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"passed","Thu Dec 05 06:31:40 GMT 2024","Thu Dec 05 06:31:49 GMT 2024","8081","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the DV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the DV subscription SSL Сertificates"
"passed","Thu Dec 05 06:34:18 GMT 2024","Thu Dec 05 06:34:29 GMT 2024","10672","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:29:11 GMT 2024","Thu Dec 05 06:29:19 GMT 2024","7952","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"broken","Thu Dec 05 05:49:02 GMT 2024","Thu Dec 05 05:50:36 GMT 2024","94020","webkit","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"broken","Thu Dec 05 06:21:17 GMT 2024","Thu Dec 05 06:21:48 GMT 2024","31524","webkit","","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled","To verify, that user receives notifications after Account deletion is canceled"
"passed","Thu Dec 05 04:03:13 GMT 2024","Thu Dec 05 04:03:19 GMT 2024","5352","webkit","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"broken","Thu Dec 05 05:24:45 GMT 2024","Thu Dec 05 05:25:16 GMT 2024","31537","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"passed","Thu Dec 05 04:02:57 GMT 2024","Thu Dec 05 04:03:03 GMT 2024","5591","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Dec 05 04:02:49 GMT 2024","Thu Dec 05 04:02:57 GMT 2024","7132","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"broken","Thu Dec 05 04:44:18 GMT 2024","Thu Dec 05 04:44:50 GMT 2024","31497","webkit","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"broken","Thu Dec 05 04:37:49 GMT 2024","Thu Dec 05 04:38:20 GMT 2024","31488","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"broken","Thu Dec 05 05:51:42 GMT 2024","Thu Dec 05 05:52:14 GMT 2024","31514","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"broken","Thu Dec 05 06:27:39 GMT 2024","Thu Dec 05 06:28:11 GMT 2024","31544","webkit","","My profile. Section 2FA","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"broken","Thu Dec 05 07:15:04 GMT 2024","Thu Dec 05 07:15:34 GMT 2024","30275","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois",""
"broken","Thu Dec 05 06:10:55 GMT 2024","Thu Dec 05 06:11:27 GMT 2024","31462","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"broken","Thu Dec 05 06:45:49 GMT 2024","Thu Dec 05 06:46:20 GMT 2024","30465","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 06:34:29 GMT 2024","Thu Dec 05 06:34:42 GMT 2024","12475","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 04:15:04 GMT 2024","Thu Dec 05 04:15:36 GMT 2024","31572","webkit","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains",""
"passed","Thu Dec 05 06:32:37 GMT 2024","Thu Dec 05 06:32:45 GMT 2024","7521","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:36:00 GMT 2024","Thu Dec 05 06:36:11 GMT 2024","10897","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:32:57 GMT 2024","Thu Dec 05 06:33:08 GMT 2024","11570","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:31:23 GMT 2024","Thu Dec 05 06:31:32 GMT 2024","9122","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the My transfers button on Transfer Page"
"broken","Thu Dec 05 06:47:27 GMT 2024","Thu Dec 05 06:47:58 GMT 2024","30557","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 04:19:57 GMT 2024","Thu Dec 05 04:20:29 GMT 2024","31538","webkit","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS",""
"passed","Thu Dec 05 04:13:50 GMT 2024","Thu Dec 05 04:13:59 GMT 2024","9103","webkit","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"broken","Thu Dec 05 07:21:28 GMT 2024","Thu Dec 05 07:21:58 GMT 2024","30278","webkit","","Report Abuse submission for each type of report","","","TC_09_07_013| Verify unauthorized user can submit the ""Report Abuse"" form for UDRP",""
"passed","Thu Dec 05 04:03:08 GMT 2024","Thu Dec 05 04:03:13 GMT 2024","5164","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Dec 05 06:28:20 GMT 2024","Thu Dec 05 06:28:27 GMT 2024","7083","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"broken","Thu Dec 05 06:01:46 GMT 2024","Thu Dec 05 06:03:20 GMT 2024","93933","webkit","","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles","Verify the user can navigate through the articles"
"broken","Thu Dec 05 06:19:40 GMT 2024","Thu Dec 05 06:20:11 GMT 2024","31478","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
"broken","Thu Dec 05 04:24:49 GMT 2024","Thu Dec 05 04:25:21 GMT 2024","31604","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"broken","Thu Dec 05 06:07:40 GMT 2024","Thu Dec 05 06:08:12 GMT 2024","31559","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"broken","Thu Dec 05 07:11:52 GMT 2024","Thu Dec 05 07:12:23 GMT 2024","30585","webkit","","Report Abuse submission for each type of report","","","TC_09_07_07| Verify unauthorized user can submit the ""Report Abuse"" form for Pharmacy Complaint",""
"passed","Thu Dec 05 06:28:12 GMT 2024","Thu Dec 05 06:28:20 GMT 2024","7605","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"broken","Thu Dec 05 04:41:03 GMT 2024","Thu Dec 05 04:41:35 GMT 2024","31545","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"broken","Thu Dec 05 05:15:08 GMT 2024","Thu Dec 05 05:15:40 GMT 2024","31509","webkit","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"broken","Thu Dec 05 06:57:14 GMT 2024","Thu Dec 05 06:57:45 GMT 2024","30435","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"broken","Thu Dec 05 04:21:35 GMT 2024","Thu Dec 05 04:22:06 GMT 2024","31520","webkit","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting",""
"passed","Thu Dec 05 06:35:21 GMT 2024","Thu Dec 05 06:35:33 GMT 2024","11178","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"broken","Thu Dec 05 07:10:16 GMT 2024","Thu Dec 05 07:10:46 GMT 2024","30285","webkit","","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities",""
