"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 05 02:04:05 GMT 2024","Thu Dec 05 02:04:05 GMT 2024","277","webkit","08MyProfile.spec.js","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"passed","Thu Dec 05 01:47:19 GMT 2024","Thu Dec 05 01:47:28 GMT 2024","8725","chromium","04Domains.spec.js","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"passed","Thu Dec 05 01:56:45 GMT 2024","Thu Dec 05 01:56:48 GMT 2024","2997","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 01:58:41 GMT 2024","Thu Dec 05 01:58:46 GMT 2024","5469","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 01:56:37 GMT 2024","Thu Dec 05 01:56:40 GMT 2024","2857","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 01:44:04 GMT 2024","Thu Dec 05 01:44:07 GMT 2024","2301","chromium","01Registration.spec.js","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"failed","Thu Dec 05 02:04:57 GMT 2024","Thu Dec 05 02:04:57 GMT 2024","277","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page",""
"passed","Thu Dec 05 01:54:53 GMT 2024","Thu Dec 05 01:54:56 GMT 2024","2526","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"failed","Thu Dec 05 02:03:09 GMT 2024","Thu Dec 05 02:03:09 GMT 2024","301","webkit","04Domains.spec.js","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".",""
"failed","Thu Dec 05 02:04:21 GMT 2024","Thu Dec 05 02:04:21 GMT 2024","290","webkit","08MyProfile.spec.js","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu",""
"passed","Thu Dec 05 01:46:19 GMT 2024","Thu Dec 05 01:46:25 GMT 2024","6778","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"failed","Thu Dec 05 02:04:11 GMT 2024","Thu Dec 05 02:04:11 GMT 2024","295","webkit","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)",""
"failed","Thu Dec 05 02:03:35 GMT 2024","Thu Dec 05 02:03:36 GMT 2024","291","webkit","06Blog.spec.js","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article",""
"failed","Thu Dec 05 02:03:48 GMT 2024","Thu Dec 05 02:03:49 GMT 2024","277","webkit","07HelpCenter.spec.js","Help Center","","","TC_07_01_05 | Verify the user can switch between categories",""
"failed","Thu Dec 05 02:10:46 GMT 2024","Thu Dec 05 02:10:46 GMT 2024","283","webkit","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois",""
"failed","Thu Dec 05 02:05:40 GMT 2024","Thu Dec 05 02:05:40 GMT 2024","278","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality",""
"passed","Thu Dec 05 01:53:30 GMT 2024","Thu Dec 05 01:53:35 GMT 2024","5289","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"failed","Thu Dec 05 02:02:16 GMT 2024","Thu Dec 05 02:02:16 GMT 2024","306","webkit","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
"failed","Thu Dec 05 02:01:37 GMT 2024","Thu Dec 05 02:01:37 GMT 2024","275","webkit","03Navigation.spec.js","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"passed","Thu Dec 05 01:56:25 GMT 2024","Thu Dec 05 01:56:28 GMT 2024","3165","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Thu Dec 05 02:06:28 GMT 2024","Thu Dec 05 02:06:28 GMT 2024","277","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page",""
"passed","Thu Dec 05 01:57:06 GMT 2024","Thu Dec 05 01:57:09 GMT 2024","2662","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 01:58:19 GMT 2024","Thu Dec 05 01:58:24 GMT 2024","5283","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 01:59:32 GMT 2024","Thu Dec 05 01:59:37 GMT 2024","4578","chromium","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"failed","Thu Dec 05 02:02:23 GMT 2024","Thu Dec 05 02:02:23 GMT 2024","305","webkit","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"passed","Thu Dec 05 01:45:29 GMT 2024","Thu Dec 05 01:45:46 GMT 2024","17184","chromium","01Registration.spec.js","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"passed","Thu Dec 05 01:56:21 GMT 2024","Thu Dec 05 01:56:25 GMT 2024","3420","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Thu Dec 05 02:08:18 GMT 2024","Thu Dec 05 02:08:18 GMT 2024","277","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Thu Dec 05 02:01:50 GMT 2024","Thu Dec 05 02:01:50 GMT 2024","282","webkit","03Navigation.spec.js","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"failed","Thu Dec 05 02:03:32 GMT 2024","Thu Dec 05 02:03:32 GMT 2024","279","webkit","06Blog.spec.js","Blog","","","TC_06_04 | Verify switching between Blog articles By category",""
"failed","Thu Dec 05 02:04:28 GMT 2024","Thu Dec 05 02:04:28 GMT 2024","277","webkit","08MyProfile.spec.js","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings",""
"passed","Thu Dec 05 01:55:49 GMT 2024","Thu Dec 05 01:55:52 GMT 2024","2810","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the Bulk transfer button on Transfer Page"
"failed","Thu Dec 05 02:07:15 GMT 2024","Thu Dec 05 02:07:16 GMT 2024","274","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"passed","Thu Dec 05 01:59:18 GMT 2024","Thu Dec 05 01:59:23 GMT 2024","4902","chromium","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"failed","Thu Dec 05 02:07:25 GMT 2024","Thu Dec 05 02:07:25 GMT 2024","279","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"passed","Thu Dec 05 01:44:07 GMT 2024","Thu Dec 05 01:44:12 GMT 2024","5364","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality"
"passed","Thu Dec 05 01:51:38 GMT 2024","Thu Dec 05 01:51:46 GMT 2024","7730","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"failed","Thu Dec 05 02:03:29 GMT 2024","Thu Dec 05 02:03:29 GMT 2024","281","webkit","06Blog.spec.js","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors",""
"failed","Thu Dec 05 02:06:08 GMT 2024","Thu Dec 05 02:06:09 GMT 2024","265","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header",""
"failed","Thu Dec 05 02:02:00 GMT 2024","Thu Dec 05 02:02:00 GMT 2024","289","webkit","04Domains.spec.js","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page",""
"passed","Thu Dec 05 01:47:14 GMT 2024","Thu Dec 05 01:47:19 GMT 2024","5318","chromium","04Domains.spec.js","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Dec 05 01:55:30 GMT 2024","Thu Dec 05 01:55:33 GMT 2024","2941","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"passed","Thu Dec 05 01:57:09 GMT 2024","Thu Dec 05 01:57:11 GMT 2024","2593","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Thu Dec 05 02:07:59 GMT 2024","Thu Dec 05 02:07:59 GMT 2024","289","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"passed","Thu Dec 05 02:00:00 GMT 2024","Thu Dec 05 02:00:06 GMT 2024","5298","chromium","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"failed","Thu Dec 05 02:08:13 GMT 2024","Thu Dec 05 02:08:13 GMT 2024","278","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Thu Dec 05 02:08:08 GMT 2024","Thu Dec 05 02:08:08 GMT 2024","277","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Thu Dec 05 02:04:01 GMT 2024","Thu Dec 05 02:04:02 GMT 2024","278","webkit","07HelpCenter.spec.js","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles",""
"passed","Thu Dec 05 01:57:23 GMT 2024","Thu Dec 05 01:57:56 GMT 2024","32395","chromium","09NonAuthorizedUser.spec.js","Reset Password","","","TC_09_05_03 | Verify password recovery process","To verify that user can reset the password."
"failed","Thu Dec 05 02:06:32 GMT 2024","Thu Dec 05 02:06:33 GMT 2024","276","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates",""
"failed","Thu Dec 05 02:10:12 GMT 2024","Thu Dec 05 02:10:13 GMT 2024","281","webkit","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam",""
"failed","Thu Dec 05 02:06:18 GMT 2024","Thu Dec 05 02:06:18 GMT 2024","268","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header",""
"passed","Thu Dec 05 01:56:04 GMT 2024","Thu Dec 05 01:56:07 GMT 2024","2729","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the EV subscription SSL Сertificates"
"passed","Thu Dec 05 01:46:03 GMT 2024","Thu Dec 05 01:46:08 GMT 2024","5423","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"failed","Thu Dec 05 02:09:25 GMT 2024","Thu Dec 05 02:09:25 GMT 2024","276","webkit","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type",""
"passed","Thu Dec 05 01:54:37 GMT 2024","Thu Dec 05 01:54:45 GMT 2024","7933","chromium","08MyProfile.spec.js","My profile. Section 2FA","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"failed","Thu Dec 05 02:04:34 GMT 2024","Thu Dec 05 02:04:34 GMT 2024","281","webkit","08MyProfile.spec.js","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.",""
"passed","Thu Dec 05 01:47:56 GMT 2024","Thu Dec 05 01:48:04 GMT 2024","7538","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Dec 05 01:47:00 GMT 2024","Thu Dec 05 01:47:07 GMT 2024","6301","chromium","03Navigation.spec.js","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"failed","Thu Dec 05 02:03:26 GMT 2024","Thu Dec 05 02:03:26 GMT 2024","277","webkit","06Blog.spec.js","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input",""
"passed","Thu Dec 05 01:57:00 GMT 2024","Thu Dec 05 01:57:03 GMT 2024","3199","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Thu Dec 05 02:09:49 GMT 2024","Thu Dec 05 02:09:49 GMT 2024","261","webkit","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type",""
"passed","Thu Dec 05 01:50:23 GMT 2024","Thu Dec 05 01:50:30 GMT 2024","7140","chromium","04Domains.spec.js","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"failed","Thu Dec 05 02:01:08 GMT 2024","Thu Dec 05 02:01:08 GMT 2024","279","webkit","02Authorization.spec.js","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.",""
"passed","Thu Dec 05 01:47:07 GMT 2024","Thu Dec 05 01:47:14 GMT 2024","6860","chromium","04Domains.spec.js","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"failed","Thu Dec 05 02:05:25 GMT 2024","Thu Dec 05 02:05:26 GMT 2024","279","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page",""
"failed","Thu Dec 05 02:10:17 GMT 2024","Thu Dec 05 02:10:18 GMT 2024","272","webkit","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming",""
"passed","Thu Dec 05 01:58:24 GMT 2024","Thu Dec 05 01:58:30 GMT 2024","6034","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"failed","Thu Dec 05 02:07:44 GMT 2024","Thu Dec 05 02:07:44 GMT 2024","265","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"passed","Thu Dec 05 01:48:56 GMT 2024","Thu Dec 05 01:49:03 GMT 2024","7869","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Dec 05 01:58:07 GMT 2024","Thu Dec 05 01:58:14 GMT 2024","6549","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"failed","Thu Dec 05 02:07:39 GMT 2024","Thu Dec 05 02:07:40 GMT 2024","266","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"passed","Thu Dec 05 01:44:12 GMT 2024","Thu Dec 05 01:45:29 GMT 2024","76586","chromium","01Registration.spec.js","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements","Verify redirection to ""Check your email"" form and its elements"
"passed","Thu Dec 05 01:57:17 GMT 2024","Thu Dec 05 01:57:20 GMT 2024","2994","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 01:46:31 GMT 2024","Thu Dec 05 01:46:35 GMT 2024","4365","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Thu Dec 05 01:57:20 GMT 2024","Thu Dec 05 01:57:23 GMT 2024","3172","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Thu Dec 05 02:09:20 GMT 2024","Thu Dec 05 02:09:20 GMT 2024","282","webkit","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"passed","Thu Dec 05 01:58:46 GMT 2024","Thu Dec 05 01:58:51 GMT 2024","5183","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 01:55:11 GMT 2024","Thu Dec 05 01:55:16 GMT 2024","4322","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Dec 05 01:56:55 GMT 2024","Thu Dec 05 01:56:57 GMT 2024","2248","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 01:53:45 GMT 2024","Thu Dec 05 01:53:50 GMT 2024","4865","chromium","08MyProfile.spec.js","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Thu Dec 05 01:49:27 GMT 2024","Thu Dec 05 01:49:35 GMT 2024","7768","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"failed","Thu Dec 05 02:02:52 GMT 2024","Thu Dec 05 02:02:53 GMT 2024","275","webkit","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields",""
"failed","Thu Dec 05 02:07:30 GMT 2024","Thu Dec 05 02:07:30 GMT 2024","280","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Thu Dec 05 02:05:16 GMT 2024","Thu Dec 05 02:05:16 GMT 2024","279","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page",""
